model,c_index_1d_mean,c_index_1d_std,c_index_2d_mean,c_index_2d_std,c_index_3d_mean,c_index_3d_std,c_index_4d_mean,c_index_4d_std,c_index_5d_mean,c_index_5d_std,c_index_6d_mean,c_index_6d_std,c_index_7d_mean,c_index_7d_std,c_index_8d_mean,c_index_8d_std,c_index_9d_mean,c_index_9d_std
CoxPH,0.7595349562102659,0.0,0.7490435682172755,0.0,0.7316680311325614,0.0,0.7251436692491838,0.0,0.726677872619705,0.0,0.7182189663596247,0.0,0.7123831867808,1.3597399555105182e-16,0.7088187611877573,0.0,0.7081253380710573,0.0
DeepSurv,0.7784580253943711,0.002429067817328957,0.7715708585231745,0.0009034022954808698,0.7553482737862742,0.0007445676224310815,0.7477502346150042,0.0002160810009041687,0.743920542238777,0.00035291472873239384,0.7363280257334003,0.00025477051995258996,0.7296106406316841,0.0005678876200518339,0.7274147997586792,0.0006403403980606002,0.725886059864853,0.00034837394761773186
PCHazard,0.7907399040100396,0.0035076434300110844,0.7755079007059336,0.0014821806835853774,0.7592259373759952,0.0006142352834857216,0.7498134339260378,0.00031022050168173776,0.746758188728809,0.0006667185274448535,0.7366236842955937,0.0005488977598911279,0.7299265014210848,0.00013356737979249557,0.7275678793317937,0.00063617606206531,0.7256434495207489,0.0008775912595658345
DeepHit,0.7927415643361867,0.002987818086506824,0.775790809415434,0.002478373420635971,0.758482067191531,0.0012462589117783638,0.7489118162748416,0.0010972142449460042,0.7459572791335777,0.0009563006248433068,0.7360843310396641,0.0009584934876148024,0.7297242300618444,0.001085688671610632,0.7280736953099248,0.0013992574764807308,0.7256581785724111,0.0013784571958051928
